MatchId,BotType,Result,TimeMs,TotalClicks
168,RandomBot,DEFEAT,0,3
169,RandomBot,DEFEAT,0,3
170,RandomBot,DEFEAT,0,4
171,RandomBot,DEFEAT,0,2
172,RandomBot,DEFEAT,0,6
173,RandomBot,DEFEAT,0,4
174,RandomBot,DEFEAT,0,4
175,RandomBot,DEFEAT,0,4
176,RandomBot,DEFEAT,0,4
177,RandomBot,DEFEAT,0,3
178,RandomBot,DEFEAT,0,3
179,RandomBot,DEFEAT,0,6
180,RandomBot,DEFEAT,0,5
181,RandomBot,DEFEAT,0,4
182,RandomBot,DEFEAT,0,5
183,RandomBot,DEFEAT,0,4
184,RandomBot,DEFEAT,0,4
185,RandomBot,DEFEAT,0,8
186,RandomBot,DEFEAT,0,8
187,RandomBot,DEFEAT,0,8
188,RandomBot,DEFEAT,0,1
189,RandomBot,DEFEAT,0,5
190,RandomBot,DEFEAT,0,1
191,RandomBot,DEFEAT,0,3
192,RandomBot,DEFEAT,0,3
193,RandomBot,DEFEAT,0,6
194,RandomBot,DEFEAT,0,4
195,RandomBot,DEFEAT,0,4
196,RandomBot,DEFEAT,0,4
197,RandomBot,DEFEAT,0,2
198,RandomBot,DEFEAT,0,4
199,RandomBot,DEFEAT,0,5
200,RandomBot,DEFEAT,0,5
201,RandomBot,DEFEAT,0,5
202,RandomBot,DEFEAT,0,2
203,RandomBot,DEFEAT,0,3
204,RandomBot,DEFEAT,0,3
205,RandomBot,DEFEAT,0,3
206,RandomBot,DEFEAT,0,3
207,RandomBot,VICTORY,0,1
208,RandomBot,DEFEAT,0,7
209,RandomBot,DEFEAT,0,4
210,RandomBot,DEFEAT,0,6
211,RandomBot,DEFEAT,0,5
212,RandomBot,DEFEAT,0,3
213,RandomBot,DEFEAT,0,5
214,RandomBot,DEFEAT,0,4
215,RandomBot,DEFEAT,0,8
216,RandomBot,DEFEAT,0,4
217,RandomBot,DEFEAT,0,3
218,RandomBot,DEFEAT,0,5
219,RandomBot,DEFEAT,0,3
220,RandomBot,DEFEAT,0,5
221,RandomBot,DEFEAT,0,5
222,RandomBot,DEFEAT,0,5
223,RandomBot,DEFEAT,0,5
224,RandomBot,DEFEAT,0,2
225,RandomBot,DEFEAT,0,1
226,RandomBot,DEFEAT,0,2
227,RandomBot,DEFEAT,0,9
228,RandomBot,DEFEAT,0,5
229,RandomBot,DEFEAT,0,1
230,RandomBot,DEFEAT,0,4
231,RandomBot,DEFEAT,0,1
232,RandomBot,DEFEAT,0,1
233,RandomBot,DEFEAT,0,6
234,RandomBot,DEFEAT,0,7
235,RandomBot,DEFEAT,0,3
236,RandomBot,DEFEAT,0,2
237,RandomBot,DEFEAT,0,7
238,RandomBot,DEFEAT,0,2
239,RandomBot,DEFEAT,0,3
240,RandomBot,DEFEAT,1,4
241,RandomBot,DEFEAT,0,2
242,RandomBot,DEFEAT,0,3
243,RandomBot,DEFEAT,0,1
244,RandomBot,DEFEAT,0,5
245,RandomBot,DEFEAT,0,1
246,RandomBot,DEFEAT,0,3
247,RandomBot,DEFEAT,0,4
248,RandomBot,DEFEAT,0,5
249,RandomBot,DEFEAT,0,4
250,RandomBot,DEFEAT,0,1
251,RandomBot,DEFEAT,0,6
252,RandomBot,DEFEAT,0,8
253,RandomBot,DEFEAT,0,3
254,RandomBot,DEFEAT,0,3
255,RandomBot,DEFEAT,0,2
256,RandomBot,DEFEAT,0,5
257,RandomBot,DEFEAT,0,2
258,RandomBot,DEFEAT,0,2
259,RandomBot,DEFEAT,0,2
260,RandomBot,DEFEAT,0,3
261,RandomBot,DEFEAT,0,7
262,RandomBot,DEFEAT,0,5
263,RandomBot,DEFEAT,0,2
264,RandomBot,DEFEAT,0,6
265,RandomBot,DEFEAT,0,3
266,RandomBot,DEFEAT,0,1
267,RandomBot,DEFEAT,0,2
268,RandomBot,DEFEAT,0,4
269,RandomBot,DEFEAT,0,4
270,RandomBot,DEFEAT,0,1
271,RandomBot,DEFEAT,0,4
272,RandomBot,DEFEAT,0,3
273,RandomBot,DEFEAT,0,2
274,RandomBot,DEFEAT,0,2
275,RandomBot,DEFEAT,0,3
276,RandomBot,DEFEAT,0,8
277,RandomBot,DEFEAT,0,3
278,RandomBot,DEFEAT,0,2
279,RandomBot,DEFEAT,0,5
280,RandomBot,DEFEAT,0,2
281,RandomBot,DEFEAT,0,4
282,RandomBot,DEFEAT,0,9
283,RandomBot,DEFEAT,0,5
284,RandomBot,DEFEAT,0,3
285,RandomBot,DEFEAT,0,2
286,RandomBot,DEFEAT,0,4
287,RandomBot,DEFEAT,0,4
288,RandomBot,DEFEAT,0,1
289,RandomBot,DEFEAT,0,4
290,RandomBot,DEFEAT,0,7
291,RandomBot,DEFEAT,0,3
292,RandomBot,DEFEAT,0,2
293,RandomBot,DEFEAT,0,5
294,RandomBot,DEFEAT,0,9
295,RandomBot,DEFEAT,0,3
296,RandomBot,DEFEAT,0,7
297,RandomBot,DEFEAT,0,12
298,RandomBot,DEFEAT,0,5
299,RandomBot,DEFEAT,0,2
300,RandomBot,DEFEAT,0,3
301,RandomBot,DEFEAT,0,2
302,RandomBot,DEFEAT,0,14
303,RandomBot,DEFEAT,0,3
304,RandomBot,DEFEAT,0,11
305,RandomBot,DEFEAT,0,3
306,RandomBot,DEFEAT,0,6
307,RandomBot,DEFEAT,0,7
308,RandomBot,DEFEAT,0,4
309,RandomBot,DEFEAT,0,5
310,RandomBot,DEFEAT,0,7
311,RandomBot,DEFEAT,0,5
312,RandomBot,DEFEAT,0,3
313,RandomBot,DEFEAT,0,2
314,RandomBot,DEFEAT,0,4
315,RandomBot,DEFEAT,0,5
316,RandomBot,DEFEAT,0,3
317,RandomBot,DEFEAT,0,4
318,RandomBot,DEFEAT,0,8
319,RandomBot,DEFEAT,0,1
320,RandomBot,DEFEAT,0,8
321,RandomBot,DEFEAT,0,6
322,RandomBot,DEFEAT,0,6
323,RandomBot,DEFEAT,0,9
324,RandomBot,DEFEAT,0,2
325,RandomBot,DEFEAT,0,4
326,RandomBot,DEFEAT,0,1
327,RandomBot,DEFEAT,0,3
328,RandomBot,DEFEAT,0,4
329,RandomBot,DEFEAT,0,1
330,RandomBot,DEFEAT,0,3
331,RandomBot,DEFEAT,0,12
332,RandomBot,DEFEAT,0,5
333,RandomBot,DEFEAT,0,3
334,RandomBot,DEFEAT,0,4
335,RandomBot,DEFEAT,0,3
336,RandomBot,DEFEAT,0,10
337,RandomBot,DEFEAT,0,1
338,RandomBot,DEFEAT,0,10
339,RandomBot,DEFEAT,0,7
340,RandomBot,DEFEAT,0,5
341,RandomBot,DEFEAT,0,6
342,RandomBot,DEFEAT,0,3
343,RandomBot,DEFEAT,0,3
344,RandomBot,DEFEAT,0,6
345,RandomBot,DEFEAT,0,3
